observation_date,T10YIE
01/01/2013,2.52
01/02/2013,2.55
01/03/2013,2.54
01/04/2013,2.41
01/05/2013,2.28
01/06/2013,2.05
01/07/2013,2.12
01/08/2013,2.18
01/09/2013,2.15
01/10/2013,2.19
01/11/2013,2.17
01/12/2013,2.16
01/01/2014,2.23
01/02/2014,2.16
01/03/2014,2.17
01/04/2014,2.16
01/05/2014,2.19
01/06/2014,2.23
01/07/2014,2.26
01/08/2014,2.2
01/09/2014,2.07
01/10/2014,1.92
01/11/2014,1.88
01/12/2014,1.7
01/01/2015,1.61
01/02/2015,1.72
01/03/2015,1.76
01/04/2015,1.86
01/05/2015,1.87
01/06/2015,1.87
01/07/2015,1.82
01/08/2015,1.61
01/09/2015,1.52
01/10/2015,1.5
01/11/2015,1.57
01/12/2015,1.52
01/01/2016,1.42
01/02/2016,1.31
01/03/2016,1.55
01/04/2016,1.61
01/05/2016,1.59
01/06/2016,1.47
01/07/2016,1.47
01/08/2016,1.47
01/09/2016,1.51
01/10/2016,1.67
01/11/2016,1.82
01/12/2016,1.94
01/01/2017,2.01
01/02/2017,2.02
01/03/2017,2
01/04/2017,1.91
01/05/2017,1.84
01/06/2017,1.73
01/07/2017,1.77
01/08/2017,1.78
01/09/2017,1.83
01/10/2017,1.86
01/11/2017,1.86
01/12/2017,1.9
01/01/2018,2.04
01/02/2018,2.1
01/03/2018,2.09
01/04/2018,2.13
01/05/2018,2.14
01/06/2018,2.12
01/07/2018,2.11
01/08/2018,2.1
01/09/2018,2.12
01/10/2018,2.11
01/11/2018,2
01/12/2018,1.82
01/01/2019,1.79
01/02/2019,1.88
01/03/2019,1.91
01/04/2019,1.94
01/05/2019,1.83
01/06/2019,1.7
01/07/2019,1.75
01/08/2019,1.59
01/09/2019,1.59
01/10/2019,1.56
01/11/2019,1.64
01/12/2019,1.72
01/01/2020,1.72
01/02/2020,1.62
01/03/2020,0.99
01/04/2020,1.1
01/05/2020,1.12
01/06/2020,1.27
01/07/2020,1.46
01/08/2020,1.66
01/09/2020,1.66
01/10/2020,1.7
01/11/2020,1.71
01/12/2020,1.92
01/01/2021,2.08
01/02/2021,2.18
01/03/2021,2.28
01/04/2021,2.35
01/05/2021,2.47
01/06/2021,2.34
01/07/2021,2.33
01/08/2021,2.35
01/09/2021,2.34
01/10/2021,2.54
01/11/2021,2.62
01/12/2021,2.46
01/01/2022,2.45
01/02/2022,2.46
01/03/2022,2.85
01/04/2022,2.88
01/05/2022,2.69
01/06/2022,2.62
01/07/2022,2.36
01/08/2022,2.51
01/09/2022,2.38
01/10/2022,2.39
01/11/2022,2.37
01/12/2022,2.26
01/01/2023,2.24
