Index,Date,Value1,Value2,Value3,Unit
0,2013-01-01,0.08,0.14,2.07,in %
1,2013-02-01,0.17,0.15,2.14,in %
2,2013-03-01,0.05,0.14,2.10,in %
3,2013-04-01,-0.02,0.15,1.93,in %
4,2013-05-01,-0.02,0.11,1.91,in %
5,2013-06-01,0.23,0.09,1.87,in %
6,2013-07-01,0.55,0.09,1.87,in %
7,2013-08-01,0.48,0.08,1.91,in %
8,2013-09-01,0.54,0.08,1.89,in %
9,2013-10-01,0.49,0.09,1.87,in %
10,2013-11-01,0.49,0.08,1.89,in %
11,2013-12-01,0.42,0.09,1.87,in %
12,2014-01-01,0.68,0.07,1.82,in %
13,2014-02-01,0.51,0.07,1.79,in %
14,2014-03-01,0.58,0.08,1.82,in %
15,2014-04-01,0.70,0.09,2.03,in %
16,2014-05-01,0.63,0.09,2.13,in %
17,2014-06-01,0.62,0.10,2.14,in %
18,2014-07-01,0.59,0.09,2.10,in %
19,2014-08-01,0.65,0.09,1.96,in %
20,2014-09-01,0.58,0.09,1.95,in %
21,2014-10-01,0.70,0.09,2.00,in %
22,2014-11-01,0.71,0.09,2.00,in %
23,2014-12-01,0.38,0.12,1.96,in %
24,2015-01-01,0.71,0.11,1.98,in %
25,2015-02-01,0.54,0.11,1.97,in %
26,2015-03-01,0.75,0.11,1.99,in %
27,2015-04-01,0.41,0.12,2.05,in %
28,2015-05-01,0.53,0.12,2.06,in %
29,2015-06-01,0.55,0.13,2.10,in %
30,2015-07-01,0.67,0.13,2.13,in %
31,2015-08-01,0.55,0.14,2.17,in %
32,2015-09-01,0.51,0.14,2.27,in %
33,2015-10-01,0.53,0.12,2.34,in %
34,2015-11-01,0.67,0.12,2.39,in %
35,2015-12-01,0.65,0.24,2.44,in %
36,2016-01-01,0.73,0.34,2.46,in %
37,2016-02-01,0.54,0.38,2.54,in %
38,2016-03-01,0.55,0.36,2.53,in %
39,2016-04-01,0.35,0.37,2.53,in %
40,2016-05-01,0.41,0.37,2.57,in %
41,2016-06-01,0.52,0.38,2.56,in %
42,2016-07-01,0.17,0.39,2.57,in %
43,2016-08-01,0.23,0.40,2.72,in %
44,2016-09-01,0.22,0.40,2.62,in %
45,2016-10-01,0.29,0.40,2.50,in %
46,2016-11-01,0.35,0.41,2.52,in %
47,2016-12-01,0.70,0.54,2.59,in %
48,2017-01-01,0.73,0.65,2.65,in %
49,2017-02-01,0.77,0.66,2.66,in %
50,2017-03-01,0.92,0.79,2.44,in %
51,2017-04-01,0.77,0.90,2.24,in %
52,2017-05-01,0.78,0.91,2.14,in %
